den,slovo
1,léto
2,zboží
3,licence
4,pěstování
5,růst
6,zas
7,vůz
8,předchozí
9,orgán
10,snaha
11,venku
12,popřípadě
13,server
14,opakovaně
15,počítač
16,místní
17,aktuální
18,stejný
19,organizace
20,zajímat
21,výzkum
22,kněz
23,osm
24,alternativní
25,prvek
26,pomoc
27,televize
28,postavit
29,skoro
30,znovu
31,však
32,dále
33,sehnat
34,řešení
35,připojit
36,organizační
37,průkaz
38,detail
39,těhotenství
40,zkušební
41,vůně
42,základní
43,prostředek
44,knihovna
45,prohlášení
46,nebo
47,dokonale
48,ani
49,eacute
50,stanovení
51,region
52,letos
53,klášter
54,památka
55,test
56,snížení
57,hudebník
58,analýza
59,nikoliv
60,smysl
